Technology,Zip_Code,Count,Income,Pop
BEV,20601,29,103703,25517
BEV,20602,39,81395,26550
BEV,20603,73,116043,31975
BEV,20607,42,132690,10843
BEV,20608,1,71313,860
BEV,20613,39,124391,14020
BEV,20616,8,97375,6389
BEV,20617,3,106000,832
BEV,20619,30,95123,15052
BEV,20620,3,95417,1369
BEV,20621,1,70278,960
BEV,20622,1,108397,6887
BEV,20623,7,142337,2997
BEV,20628,2,145000,477
BEV,20629,1,55917,383
BEV,20630,2,96875,301
BEV,20632,1,109583,432
BEV,20634,15,93435,6478
BEV,20636,25,110154,10805
BEV,20637,16,123816,5751
BEV,20639,34,129805,15793
BEV,20640,16,75814,10333
BEV,20645,4,123125,749
BEV,20646,25,103453,21951
BEV,20650,38,92094,14672
BEV,20653,34,75161,24274
BEV,20657,25,93750,19226
BEV,20658,4,71250,848
BEV,20659,16,95275,23312
BEV,20662,2,72813,2876
BEV,20664,6,87813,3462
BEV,20674,3,NA,848
BEV,20675,2,97917,2017
BEV,20676,4,121307,3848
BEV,20677,11,125089,2416
BEV,20678,17,94059,12261
BEV,20680,1,82344,934
BEV,20684,5,107500,1066
BEV,20685,10,107821,6942
BEV,20686,1,79475,1775
BEV,20688,6,101000,1749
BEV,20689,3,155000,2081
BEV,20690,7,75847,905
BEV,20692,1,139417,899
BEV,20695,26,107685,8089
BEV,20701,5,NA,92
BEV,20705,45,89330,27663
BEV,20706,45,78115,43670
BEV,20707,87,82367,32798
BEV,20708,27,76723,27843
BEV,20711,13,83136,7413
BEV,20712,15,57367,9608
BEV,20714,8,95028,4683
BEV,20715,74,117224,27556
BEV,20716,54,100861,22237
BEV,20720,89,140322,22971
BEV,20721,102,131508,29730
BEV,20722,7,73636,5728
BEV,20723,197,117878,35411
BEV,20724,42,103112,17513
BEV,20732,26,106438,9820
BEV,20733,10,103493,2777
BEV,20735,49,112388,38220
BEV,20736,21,142128,9248
BEV,20737,19,67478,22295
BEV,20740,72,69017,31349
BEV,20743,27,65152,37888
BEV,20744,115,107276,54925
BEV,20745,48,65845,27790
BEV,20746,18,67643,27041
BEV,20747,12,64759,40484
BEV,20748,19,72760,38904
BEV,20751,9,93355,2091
BEV,20754,22,130250,7124
BEV,20755,15,77412,10873
BEV,20758,1,97361,451
BEV,20759,140,199145,5311
BEV,20762,6,75969,3079
BEV,20763,8,98603,1635
BEV,20764,2,100491,3829
BEV,20765,1,48472,407
BEV,20769,32,150156,6222
BEV,20770,69,70867,24560
BEV,20772,140,111792,45321
BEV,20774,132,104239,47165
BEV,20776,17,94580,3271
BEV,20777,66,201744,3687
BEV,20778,9,143250,2079
BEV,20779,8,105611,993
BEV,20781,35,79000,11694
BEV,20782,51,72679,33398
BEV,20783,19,65623,45302
BEV,20784,10,68603,30270
BEV,20785,34,73363,38878
BEV,20794,47,89324,17939
BEV,20812,3,211875,309
BEV,20814,349,127223,29021
BEV,20815,384,156686,30664
BEV,20816,230,216604,16316
BEV,20817,636,203557,37315
BEV,20818,39,180368,1971
BEV,20832,91,137282,26437
BEV,20833,71,161792,7369
BEV,20837,63,167768,6287
BEV,20838,1,126250,302
BEV,20841,88,187500,11443
BEV,20842,9,106360,1676
BEV,20850,524,109704,53176
BEV,20851,46,90865,15489
BEV,20852,308,99589,46178
BEV,20853,125,118858,31061
BEV,20854,874,213724,49189
BEV,20855,172,138947,15287
BEV,20860,16,95526,2855
BEV,20861,26,205833,1449
BEV,20862,1,154875,341
BEV,20866,47,98227,16365
BEV,20868,4,143839,780
BEV,20871,311,128862,18628
BEV,20872,54,119276,12603
BEV,20874,204,94378,61087
BEV,20876,95,96558,30778
BEV,20877,88,73666,38423
BEV,20878,561,132917,63030
BEV,20879,89,89177,26164
BEV,20880,1,114250,547
BEV,20882,97,148209,13988
BEV,20886,69,81710,34834
BEV,20895,158,147246,19026
BEV,20896,19,198750,775
BEV,20901,130,109246,36278
BEV,20902,157,94360,52908
BEV,20903,19,69640,27973
BEV,20904,156,85376,55275
BEV,20905,84,130071,18662
BEV,20906,179,75990,70749
BEV,20910,232,90122,44301
BEV,20912,131,73052,26140
BEV,21001,30,68942,24752
BEV,21005,4,94643,2872
BEV,21009,47,89750,29905
BEV,21010,2,59821,211
BEV,21012,93,127519,21600
BEV,21013,23,144048,4768
BEV,21014,60,91242,36538
BEV,21015,80,106838,29199
BEV,21017,8,78821,6983
BEV,21028,11,108872,2783
BEV,21029,230,203000,10895
BEV,21030,92,71256,24396
BEV,21031,5,NA,0
BEV,21032,54,125616,8084
BEV,21034,4,82500,3483
BEV,21035,62,154526,7957
BEV,21036,31,177583,2112
BEV,21037,95,111284,21046
BEV,21040,8,66727,24166
BEV,21042,347,156812,41195
BEV,21043,321,123037,47351
BEV,21044,258,106533,44256
BEV,21045,154,103932,40365
BEV,21046,100,111711,15655
BEV,21047,36,119663,12266
BEV,21048,39,111684,10276
BEV,21050,38,108376,18123
BEV,21051,1,161875,295
BEV,21052,1,95000,211
BEV,21053,6,102273,3225
BEV,21054,81,121583,11199
BEV,21056,5,150583,158
BEV,21057,16,131250,4232
BEV,21060,88,76569,34899
BEV,21061,54,68493,53860
BEV,21071,4,202656,581
BEV,21074,20,85993,15166
BEV,21075,149,105564,33726
BEV,21076,160,117017,17442
BEV,21077,1,114219,276
BEV,21078,51,79489,18366
BEV,21082,1,134464,656
BEV,21084,7,108158,7603
BEV,21085,13,89127,16055
BEV,21087,18,109338,5394
BEV,21090,27,97426,9991
BEV,21093,180,101880,37996
BEV,21102,15,90500,11787
BEV,21104,45,149907,5762
BEV,21108,80,128526,18782
BEV,21111,26,132679,5387
BEV,21113,136,98071,34473
BEV,21114,62,122728,27303
BEV,21117,227,86793,59301
BEV,21120,28,114881,7095
BEV,21122,106,98845,61051
BEV,21128,53,100417,13985
BEV,21131,39,144570,7282
BEV,21132,1,120385,3232
BEV,21133,22,80969,33299
BEV,21136,133,84011,34177
BEV,21140,20,120577,3564
BEV,21144,118,111446,35335
BEV,21146,164,148936,27555
BEV,21152,59,99500,5462
BEV,21153,10,NA,447
BEV,21154,9,95699,5804
BEV,21155,5,106731,2532
BEV,21156,2,112222,316
BEV,21157,67,84294,37749
BEV,21158,46,93911,20906
BEV,21160,1,71250,2933
BEV,21161,20,109194,5601
BEV,21162,17,110761,4331
BEV,21163,48,126875,7030
BEV,21201,41,37687,17256
BEV,21202,44,47848,21784
BEV,21204,103,82655,21545
BEV,21205,5,31949,16239
BEV,21206,26,54319,52020
BEV,21207,22,57397,48872
BEV,21208,150,83325,35266
BEV,21209,107,83202,28309
BEV,21210,107,104091,15553
BEV,21211,46,76117,16370
BEV,21212,122,79832,33431
BEV,21213,17,39648,31007
BEV,21214,29,75507,21392
BEV,21215,25,38651,58283
BEV,21216,7,40178,30179
BEV,21217,15,29196,33644
BEV,21218,64,47029,47555
BEV,21219,14,87174,9550
BEV,21220,46,70800,41051
BEV,21221,32,58171,42078
BEV,21222,25,55386,55212
BEV,21223,5,28549,22392
BEV,21224,119,73750,49332
BEV,21225,18,44165,34363
BEV,21226,6,78359,6247
BEV,21227,30,68323,33589
BEV,21228,118,85442,48196
BEV,21229,35,47867,45921
BEV,21230,150,85150,34274
BEV,21231,59,71408,15854
BEV,21234,56,66714,68381
BEV,21236,29,79470,39707
BEV,21237,47,69226,30129
BEV,21239,14,55555,30424
BEV,21244,32,68579,36394
BEV,21250,9,NA,2367
BEV,21286,60,87500,19849
BEV,21401,197,103911,38315
BEV,21402,3,93125,6669
BEV,21403,159,93560,31377
BEV,21405,3,110357,337
BEV,21409,96,123020,19931
BEV,21502,27,46498,42391
BEV,21520,1,58625,2200
BEV,21532,12,48214,14726
BEV,21541,4,45469,1421
BEV,21545,1,46250,1740
BEV,21550,7,50737,14077
BEV,21561,5,55347,2464
BEV,21601,49,71049,23399
BEV,21607,1,96932,737
BEV,21610,1,53906,433
BEV,21613,19,48046,17132
BEV,21617,15,108019,10570
BEV,21619,14,95909,5964
BEV,21620,18,63806,12850
BEV,21623,6,72000,1989
BEV,21625,3,88514,2583
BEV,21629,2,65216,9396
BEV,21631,2,69934,2814
BEV,21632,2,47361,6078
BEV,21635,1,86150,1983
BEV,21638,11,106071,5130
BEV,21639,1,55417,5279
BEV,21640,1,59250,1499
BEV,21647,1,77361,288
BEV,21651,3,60246,2894
BEV,21652,2,74750,118
BEV,21654,14,76136,986
BEV,21655,5,65842,4747
BEV,21658,12,110348,3987
BEV,21660,1,65385,4292
BEV,21661,3,41250,2487
BEV,21662,5,129167,418
BEV,21663,17,78828,3424
BEV,21664,1,44167,445
BEV,21666,39,103241,12836
BEV,21668,1,60750,1816
BEV,21669,1,80179,254
BEV,21671,2,61042,984
BEV,21673,5,70000,3270
BEV,21677,2,90461,446
BEV,21678,1,55766,1842
BEV,21679,1,95648,289
BEV,21701,137,83565,37017
BEV,21702,81,85006,41815
BEV,21703,85,90774,37473
BEV,21704,161,148955,16887
BEV,21710,24,121250,4859
BEV,21711,1,75357,1076
BEV,21713,12,82530,10728
BEV,21714,1,NA,216
BEV,21716,18,74845,5078
BEV,21718,2,80417,151
BEV,21722,2,62412,5748
BEV,21723,15,231172,759
BEV,21727,6,73750,6792
BEV,21737,37,191786,2462
BEV,21738,36,181364,3827
BEV,21740,63,48372,61768
BEV,21742,56,65638,33483
BEV,21754,53,136667,6667
BEV,21755,16,109125,5603
BEV,21756,6,79091,3056
BEV,21757,1,80885,2793
BEV,21758,6,80875,5127
BEV,21762,3,NA,202
BEV,21767,2,48750,650
BEV,21769,56,126534,11629
BEV,21770,37,138750,5513
BEV,21771,83,129615,29901
BEV,21773,20,105519,5431
BEV,21774,109,138393,13092
BEV,21776,12,87120,5516
BEV,21777,7,113319,1868
BEV,21778,3,74375,909
BEV,21779,2,79909,1032
BEV,21780,3,61683,1614
BEV,21782,3,77639,4495
BEV,21783,10,79250,8894
BEV,21784,157,117310,37365
BEV,21787,10,73899,10173
BEV,21788,11,76737,11910
BEV,21791,4,86725,5245
BEV,21793,20,93434,10416
BEV,21794,26,171250,2277
BEV,21795,4,64241,9147
BEV,21797,47,136250,8873
BEV,21798,4,82500,2057
BEV,21801,25,54889,29866
BEV,21804,15,52638,40877
BEV,21811,21,69747,24071
BEV,21813,9,75577,2672
BEV,21817,2,35029,4515
BEV,21822,1,46250,1687
BEV,21824,1,NA,101
BEV,21826,1,56152,5325
BEV,21830,2,75913,4060
BEV,21837,2,74429,3200
BEV,21842,17,55064,10655
BEV,21849,2,51875,3577
BEV,21850,1,68203,2935
BEV,21851,4,41896,6949
BEV,21862,1,NA,90
BEV,21863,5,56338,4657
BEV,21874,1,45513,1874
BEV,21875,16,61094,6676
BEV,21901,24,80542,16790
BEV,21903,5,74904,5947
BEV,21904,10,86528,7075
BEV,21911,16,76504,11130
BEV,21912,1,54464,1139
BEV,21913,2,34569,880
BEV,21914,2,80250,860
BEV,21915,4,82454,2949
BEV,21917,4,82895,2127
BEV,21918,1,80417,3692
BEV,21919,3,86444,2919
BEV,21921,43,72992,46162
PHEV,20601,24,103703,25517
PHEV,20602,28,81395,26550
PHEV,20603,49,116043,31975
PHEV,20606,1,97083,374
PHEV,20607,33,132690,10843
PHEV,20611,1,96510,1634
PHEV,20613,23,124391,14020
PHEV,20615,1,112130,421
PHEV,20616,4,97375,6389
PHEV,20618,1,59850,406
PHEV,20619,26,95123,15052
PHEV,20620,1,95417,1369
PHEV,20621,1,70278,960
PHEV,20622,10,108397,6887
PHEV,20623,4,142337,2997
PHEV,20624,1,87039,1409
PHEV,20628,4,145000,477
PHEV,20629,1,55917,383
PHEV,20634,19,93435,6478
PHEV,20636,19,110154,10805
PHEV,20637,11,123816,5751
PHEV,20639,35,129805,15793
PHEV,20640,12,75814,10333
PHEV,20645,1,123125,749
PHEV,20646,28,103453,21951
PHEV,20650,45,92094,14672
PHEV,20653,32,75161,24274
PHEV,20657,33,93750,19226
PHEV,20658,1,71250,848
PHEV,20659,36,95275,23312
PHEV,20662,2,72813,2876
PHEV,20664,2,87813,3462
PHEV,20670,1,53836,1441
PHEV,20674,4,NA,848
PHEV,20675,2,97917,2017
PHEV,20676,3,121307,3848
PHEV,20677,5,125089,2416
PHEV,20678,15,94059,12261
PHEV,20684,3,107500,1066
PHEV,20685,14,107821,6942
PHEV,20686,2,79475,1775
PHEV,20688,10,101000,1749
PHEV,20689,4,155000,2081
PHEV,20695,20,107685,8089
PHEV,20701,2,NA,92
PHEV,20705,39,89330,27663
PHEV,20706,24,78115,43670
PHEV,20707,58,82367,32798
PHEV,20708,30,76723,27843
PHEV,20710,3,45602,9553
PHEV,20711,11,83136,7413
PHEV,20712,12,57367,9608
PHEV,20714,10,95028,4683
PHEV,20715,56,117224,27556
PHEV,20716,26,100861,22237
PHEV,20720,43,140322,22971
PHEV,20721,52,131508,29730
PHEV,20722,11,73636,5728
PHEV,20723,102,117878,35411
PHEV,20724,30,103112,17513
PHEV,20732,25,106438,9820
PHEV,20733,8,103493,2777
PHEV,20735,40,112388,38220
PHEV,20736,21,142128,9248
PHEV,20737,19,67478,22295
PHEV,20740,61,69017,31349
PHEV,20743,27,65152,37888
PHEV,20744,74,107276,54925
PHEV,20745,27,65845,27790
PHEV,20746,9,67643,27041
PHEV,20747,11,64759,40484
PHEV,20748,19,72760,38904
PHEV,20751,7,93355,2091
PHEV,20754,17,130250,7124
PHEV,20755,13,77412,10873
PHEV,20759,52,199145,5311
PHEV,20762,2,75969,3079
PHEV,20763,6,98603,1635
PHEV,20764,6,100491,3829
PHEV,20765,1,48472,407
PHEV,20769,19,150156,6222
PHEV,20770,50,70867,24560
PHEV,20772,82,111792,45321
PHEV,20774,59,104239,47165
PHEV,20776,13,94580,3271
PHEV,20777,31,201744,3687
PHEV,20778,6,143250,2079
PHEV,20779,4,105611,993
PHEV,20781,30,79000,11694
PHEV,20782,48,72679,33398
PHEV,20783,24,65623,45302
PHEV,20784,18,68603,30270
PHEV,20785,36,73363,38878
PHEV,20794,24,89324,17939
PHEV,20812,5,211875,309
PHEV,20814,171,127223,29021
PHEV,20815,222,156686,30664
PHEV,20816,111,216604,16316
PHEV,20817,299,203557,37315
PHEV,20818,18,180368,1971
PHEV,20832,69,137282,26437
PHEV,20833,31,161792,7369
PHEV,20837,32,167768,6287
PHEV,20838,1,126250,302
PHEV,20839,1,NA,97
PHEV,20841,46,187500,11443
PHEV,20842,16,106360,1676
PHEV,20850,194,109704,53176
PHEV,20851,46,90865,15489
PHEV,20852,161,99589,46178
PHEV,20853,84,118858,31061
PHEV,20854,335,213724,49189
PHEV,20855,75,138947,15287
PHEV,20860,10,95526,2855
PHEV,20861,9,205833,1449
PHEV,20862,4,154875,341
PHEV,20866,23,98227,16365
PHEV,20868,3,143839,780
PHEV,20871,176,128862,18628
PHEV,20872,38,119276,12603
PHEV,20874,155,94378,61087
PHEV,20876,71,96558,30778
PHEV,20877,59,73666,38423
PHEV,20878,278,132917,63030
PHEV,20879,56,89177,26164
PHEV,20880,5,114250,547
PHEV,20882,81,148209,13988
PHEV,20886,55,81710,34834
PHEV,20895,99,147246,19026
PHEV,20896,15,198750,775
PHEV,20901,114,109246,36278
PHEV,20902,120,94360,52908
PHEV,20903,25,69640,27973
